Name,Account,Time,Comments,Retweets,Text
Meenakshi J Goyal,@meenakshigoyalg,Oct-30,3,2,"@Flipkart
  I am afraid now to do online payments. Better I had chose COD for my order OD123211302898376000, placed on 26th evening.
It was a #Flipkart quick and marked delivered without giving me delivery by you courier guy. #BOYCOTTflipkart
#Boycottonli"
mystartupyatra,@mystartupyatra,Oct-26,,1,"Rupifi : Powering B2B Transactions for SMEs 

 #india #software #digital #b2b #bangalore #finacialservices #payments #enterprises #flipkart #buynowpaylater #trivianight #mystartupyatra #digitalamarketing"
Marketing Motivation,@marketing_motiv,Oct-23,,,Digital payments leader PhonePe has started charging processing fees of Re 1 to Rs 2 on phone recharges over Rs 50. #digitalage #digital #digitalindia #Flipkart #bhimupi #upi #phonepe
Girish Purohit,@GJ_PUROHIT,Oct-22,1,2,"My 
@AxisBank
 
@AxisBankSupport
 #Flipkart CC have been charged with Interest penalty. I used to make my payments on time then too I been debited with unwanted charges. Kindly look into the same and reverse/weave the charges on priority. Hope you will understand and do the needful."
Nitin Sethi,@nitinsethi80,Oct-20,,,"Flipkart Wholesale partners with Rupifi to offer BNPL option to MSMEs https://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/flipkart-wholesale-partners-with-rupifi-to-offer-bnpl-option-to-msmes/87156217… 
#Flipkart #Rupifi #BNPL #payments #MSMEs #Retailers #Ecommerce"
YP Buzz,@ypbuzzofficial,Aug-24,,2,"RBI to issue new guideline by Jan 2022 

https://ypbuzz.com/2021/08/learn-your-credit-debit-card-number-by.html…

#ypbuzz #ypbuzzfinance #pjpdigital #rbipolicy #rbi #Flipkart #Amazon #Paytm #OLA #Uber #Google #phonepe #googlepay #onlinebusiness #card #CreditCard #debitcard #payments #onlinetraining"
Sharanu.N,@sharanu_ja,Aug-21,2,,"Dear 
@Flipkart
 what happened to your Android App??

App not accepting payments,it's is taking too much time  #Flipkart 
@flipkartsupport"
Renjith R,@renjithr2081,Aug-18,,1,"PhonePe closes $700 Mn round with participation of Tencent and Tiger. #PhonePe #fintech #indiatech #Tencent #TigerGlobal #UPI #payments #Flipkart #Walmart 
@tnatw
  
@jasuja"
????????????????????????????,@MarathaaWarrior,Aug-14,1,,"What #UPI is for digital payments, #ONDC is going to be for eCommerce.

This would reduce competitive advantage of big players like #Amazon #Flipkart #JioMart and provide same tools to local retailers which these big players have."
Biswajit Gaigaria ,@BGaigaria,Aug-13,3,,"Dear 
@Flipkart
, my order no OD122407885336913000. Why canceled this after successfully payments?

#Flipkart's sellers didn't provided any products in offer period. Basically #Realme8 phone. They chit with us repeatedly. Who is answerable to us.?

@flipkartsupport
 
@FlipkartSellers"
